Date,J-Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market
2022-06-01,1401-03-11,21250.0,21300.0,20450.0,20450.0,20810.0,6944879.0,144514550680.0,1264.0,فاسمین,کالسیمین,بورس
2022-06-06,1401-03-16,20300.0,20640.0,19900.0,20230.0,20150.0,4998097.0,100689828190.0,1017.0,فاسمین,کالسیمین,بورس
2022-06-07,1401-03-17,19780.0,20450.0,19780.0,20310.0,20280.0,7862924.0,159486350920.0,1220.0,فاسمین,کالسیمین,بورس
2022-06-08,1401-03-18,20300.0,20990.0,20300.0,20880.0,20710.0,9228985.0,191092771100.0,981.0,فاسمین,کالسیمین,بورس
2022-06-11,1401-03-21,20620.0,21190.0,20220.0,21110.0,20850.0,4324286.0,90145758020.0,996.0,فاسمین,کالسیمین,بورس
2022-06-12,1401-03-22,21210.0,22100.0,20900.0,22100.0,21900.0,17958575.0,393347657870.0,2389.0,فاسمین,کالسیمین,بورس
2022-06-13,1401-03-23,22240.0,23210.0,22100.0,23190.0,23010.0,15788037.0,363314319120.0,2790.0,فاسمین,کالسیمین,بورس
2022-06-14,1401-03-24,23190.0,23500.0,22710.0,22810.0,22980.0,8331029.0,191410762470.0,1592.0,فاسمین,کالسیمین,بورس
2022-06-15,1401-03-25,22800.0,22800.0,21890.0,22580.0,22470.0,4342285.0,97577597900.0,1021.0,فاسمین,کالسیمین,بورس
2022-06-18,1401-03-28,22270.0,22270.0,21500.0,21550.0,21690.0,7202029.0,156246883510.0,1432.0,فاسمین,کالسیمین,بورس
2022-06-19,1401-03-29,21400.0,22000.0,21350.0,21690.0,21700.0,3295598.0,71505192920.0,743.0,فاسمین,کالسیمین,بورس
2022-06-20,1401-03-30,22990.0,22990.0,21800.0,21900.0,22300.0,9895304.0,220707270560.0,1783.0,فاسمین,کالسیمین,بورس
2022-06-21,1401-03-31,22080.0,22100.0,21500.0,21750.0,21800.0,2692723.0,58696991950.0,782.0,فاسمین,کالسیمین,بورس
2022-06-22,1401-04-01,21800.0,21980.0,21100.0,21300.0,21300.0,2903707.0,61854457510.0,951.0,فاسمین,کالسیمین,بورس
2022-06-25,1401-04-04,20200.0,20800.0,20030.0,20190.0,20110.0,19858849.0,399385535340.0,2654.0,فاسمین,کالسیمین,بورس
2022-06-26,1401-04-05,20110.0,20400.0,19500.0,19990.0,20000.0,10476589.0,209561626610.0,1256.0,فاسمین,کالسیمین,بورس
2022-06-27,1401-04-06,20740.0,21000.0,20210.0,20610.0,20730.0,7995752.0,165760637390.0,1973.0,فاسمین,کالسیمین,بورس
2022-06-28,1401-04-07,21000.0,21200.0,20730.0,21120.0,21010.0,12433699.0,261195078360.0,1396.0,فاسمین,کالسیمین,بورس
2022-06-29,1401-04-08,20690.0,21350.0,20690.0,21290.0,21100.0,6123371.0,129220995900.0,887.0,فاسمین,کالسیمین,بورس
2022-07-02,1401-04-11,20680.0,20680.0,19840.0,19970.0,19970.0,19129635.0,381972173960.0,2670.0,فاسمین,کالسیمین,بورس
2022-07-03,1401-04-12,19790.0,20160.0,19590.0,19920.0,19920.0,6492007.0,129350252730.0,1060.0,فاسمین,کالسیمین,بورس
2022-07-04,1401-04-13,20020.0,20090.0,19430.0,19950.0,19790.0,6354175.0,125764963300.0,1372.0,فاسمین,کالسیمین,بورس
2022-07-05,1401-04-14,19940.0,19950.0,19510.0,19680.0,19690.0,5942721.0,117033878430.0,1194.0,فاسمین,کالسیمین,بورس
2022-07-06,1401-04-15,19300.0,19380.0,18750.0,18950.0,18950.0,10066865.0,190780227120.0,2611.0,فاسمین,کالسیمین,بورس
2022-07-09,1401-04-18,18500.0,18830.0,18300.0,18520.0,18500.0,2417545.0,44719218330.0,648.0,فاسمین,کالسیمین,بورس
2022-07-11,1401-04-20,18500.0,19290.0,18460.0,18550.0,18900.0,6325563.0,119551169060.0,1205.0,فاسمین,کالسیمین,بورس
2022-07-12,1401-04-21,18890.0,19200.0,18580.0,19200.0,18980.0,3975933.0,75469774190.0,862.0,فاسمین,کالسیمین,بورس
2022-07-13,1401-04-22,19500.0,19540.0,19060.0,19180.0,19310.0,4300416.0,83037621710.0,730.0,فاسمین,کالسیمین,بورس
2022-07-16,1401-04-25,19100.0,19240.0,18500.0,18660.0,18740.0,6955631.0,130315100060.0,1081.0,فاسمین,کالسیمین,بورس
2022-07-17,1401-04-26,18870.0,18880.0,18000.0,18090.0,18250.0,4064801.0,74162868330.0,894.0,فاسمین,کالسیمین,بورس
2022-07-19,1401-04-28,18310.0,18800.0,18260.0,18430.0,18410.0,7106777.0,130819564030.0,1134.0,فاسمین,کالسیمین,بورس
2022-07-20,1401-04-28,18310.0,18800.0,18260.0,18430.0,18410.0,7106777.0,130819564030.0,1134.0,فاسمین,کالسیمین,بورس
2022-07-23,1401-04-28,18310.0,18800.0,18260.0,18430.0,18410.0,7106777.0,130819564030.0,1134.0,فاسمین,کالسیمین,بورس
2022-07-24,1401-04-28,18310.0,18800.0,18260.0,18430.0,18410.0,7106777.0,130819564030.0,1134.0,فاسمین,کالسیمین,بورس
2022-07-25,1401-04-28,18310.0,18800.0,18260.0,18430.0,18410.0,7106777.0,130819564030.0,1134.0,فاسمین,کالسیمین,بورس
2022-07-26,1401-05-04,16900.0,16990.0,16410.0,16980.0,16800.0,6346202.0,106595089850.0,867.0,فاسمین,کالسیمین,بورس
2022-07-27,1401-05-05,17100.0,17570.0,17100.0,17100.0,17330.0,5239656.0,90799141310.0,1256.0,فاسمین,کالسیمین,بورس
2022-07-30,1401-05-08,17750.0,18330.0,17710.0,17800.0,18080.0,6881274.0,124444575700.0,1727.0,فاسمین,کالسیمین,بورس
2022-07-31,1401-05-09,18170.0,18170.0,17530.0,17890.0,17770.0,2943702.0,52302250880.0,789.0,فاسمین,کالسیمین,بورس
2022-08-01,1401-05-10,17680.0,18200.0,17680.0,17790.0,17910.0,2016442.0,36156772980.0,532.0,فاسمین,کالسیمین,بورس
2022-08-02,1401-05-11,17890.0,18070.0,17660.0,17820.0,17830.0,2229845.0,39743046080.0,639.0,فاسمین,کالسیمین,بورس
2022-08-03,1401-05-12,18010.0,18180.0,17840.0,18090.0,18000.0,5059290.0,91066460430.0,690.0,فاسمین,کالسیمین,بورس
2022-08-06,1401-05-15,18300.0,18720.0,18300.0,18490.0,18410.0,2696091.0,49632936210.0,899.0,فاسمین,کالسیمین,بورس
2022-08-09,1401-05-18,18460.0,18950.0,18350.0,18500.0,18580.0,3265172.0,60657097960.0,660.0,فاسمین,کالسیمین,بورس
2022-08-10,1401-05-19,18790.0,18790.0,18180.0,18460.0,18460.0,2785803.0,51430264220.0,616.0,فاسمین,کالسیمین,بورس
2022-08-13,1401-05-22,18860.0,19360.0,18730.0,19190.0,19120.0,2450075.0,46837019740.0,619.0,فاسمین,کالسیمین,بورس
2022-08-14,1401-05-23,19020.0,19300.0,18870.0,19100.0,19040.0,2196881.0,41819416720.0,594.0,فاسمین,کالسیمین,بورس
2022-08-15,1401-05-24,18870.0,19100.0,18550.0,18770.0,18880.0,3251007.0,61381386130.0,728.0,فاسمین,کالسیمین,بورس
2022-08-16,1401-05-25,18520.0,18890.0,18210.0,18300.0,18390.0,4089639.0,75196926190.0,862.0,فاسمین,کالسیمین,بورس
2022-08-17,1401-05-26,18930.0,18930.0,17990.0,18180.0,18130.0,7589941.0,137603134600.0,860.0,فاسمین,کالسیمین,بورس
2022-08-20,1401-05-29,18010.0,18240.0,17870.0,17900.0,18040.0,3207955.0,57870814600.0,608.0,فاسمین,کالسیمین,بورس
2022-08-21,1401-05-30,18000.0,18320.0,17800.0,17870.0,18000.0,3223961.0,58038468250.0,563.0,فاسمین,کالسیمین,بورس
2022-08-22,1401-05-31,17900.0,18190.0,17840.0,18000.0,18000.0,2583959.0,46516391190.0,503.0,فاسمین,کالسیمین,بورس
