,Date,J-Date,Open,High,Low,Close,Final,Volume,Ticker,Final_yes,high_rate,low_rate,open_rate,earning_rate,smooth-close,label,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
10,2023-02-04,1401-11-12,3710.0,3770.0,3645.0,3650.0,3675.0,-0.5572418986321023,ونفت,3675.0,0.0258503401360544,-0.0081632653061224,0.0095238095238095,-0.0068027210884353,4549.610237595199,0,-0.322432717566787,-0.5973014146146984,-0.5654283342379979,-0.600019873192787,-0.4169465153150232,-0.4980801204563118,-0.5326332048517751,-0.1763145524152314,-0.4673886422987605,-0.5884292479147192,-0.5665305012097281,-0.2682388808403385,-2.01992478699198,-2.019115376485808,-2.0190311980451163,-1.9045933296880493,0.1313874820660229
11,2023-02-05,1401-11-16,3640.0,3698.0,3418.0,3487.0,3507.0,-0.2022352451533514,ونفت,3675.0,0.0062585034013605,-0.0699319727891156,-0.0095238095238095,-0.051156462585034,4482.13087000195,0,-0.2167453594774662,-0.5973014146146984,-0.4157901367974114,-0.1256958627637064,-0.1927357617897165,0.1875820970622458,-0.0372585892503918,-0.3475428167569286,-0.3492489499931351,-0.1881407726260784,-0.3020557491186068,-0.3768148602807645,-2.21522744218139,-2.2189306596520533,-2.213167372135185,-2.0210524748453884,-0.4362442900189103
12,2023-02-06,1401-11-17,3500.0,3545.0,3411.0,3500.0,3493.0,-0.6189524467645725,ونفت,3507.0,0.0108354719133162,-0.0273738237810094,-0.0019960079840319,-0.0019960079840319,4466.5102330306845,0,-0.3008638689771297,-1.1976043438757018,-0.575630938608947,0.3486281476653742,-0.4879878917651457,-0.4703874019154977,-0.5600074553257607,-0.2960676860565677,-0.5130927389658914,-0.5833772097672377,-0.5883028994639594,-0.3478996077383398,-2.2298086611061008,-2.234705773188004,-2.2491424146883743,-2.1102922725663964,0.0030339312532676
13,2023-02-07,1401-11-18,3560.0,3628.0,3500.0,3570.0,3586.0,-0.4991966603887098,ونفت,3493.0,0.0386487260234755,0.002004008016032,0.0191812195820211,0.0220440881763527,4528.801121905159,0,-0.3159620629898898,1.2036073731683117,-0.531419653001501,0.3486281476653742,-0.4212575986639703,-0.1983078785963219,-0.5690643008699412,0.094608070012235,-0.4734334315229556,-0.4081628807605968,-0.5903520317711481,-0.1072694041211063,-2.136590750008592,-2.1277694159640856,-2.098655332028031,-1.9946558462015915,0.206295679970191
14,2023-02-08,1401-11-19,3571.0,3660.0,3550.0,3595.0,3598.0,-0.6463228586029357,ونفت,3586.0,0.0206358059118795,-0.0100390407138873,-0.0041829336307863,0.0025097601784718,4512.021129943997,1,-0.3979236876305876,-1.1976043438757018,-0.5246179167542016,-0.1256958627637064,-0.4402704610302738,-0.8209963151819606,-0.5521581891874708,-0.4000690110190608,-0.4832927075461117,-0.7908506919793911,-0.5802821341122558,-0.4080006718293308,-2.105144039163404,-2.1065331069427966,-2.130971289312204,-1.9523551504931196,0.1143098801134663
15,2023-02-11,1401-11-19,3571.0,3660.0,3550.0,3595.0,3598.0,-0.6463228586029357,ونفت,3598.0,0.0172317954419121,-0.0133407448582545,-0.0075041689827682,-0.0008337965536409,4540.127421106959,1,-0.3979236876305876,-1.1976043438757018,-0.5246179167542016,-0.1256958627637064,-0.4402704610302738,-0.8209963151819606,-0.5521581891874708,-0.4000690110190608,-0.4832927075461117,-0.7908506919793911,-0.5802821341122558,-0.4080006718293308,-2.105144039163404,-2.1065331069427966,-2.130971289312204,-1.9523551504931196,0.1143098801134663
16,2023-02-12,1401-11-23,3635.0,3676.0,3558.0,3620.0,3636.0,-0.4848465521563166,ونفت,3598.0,0.0216787103946637,-0.0111172873818788,0.0102834908282379,0.0061145080600333,4528.574422818284,1,-0.3159620629898898,-1.1976043438757018,-0.4123892686737617,-0.1256958627637064,-0.2669127362967783,-0.836046467789451,-0.462425618740059,-0.1327970391738458,-0.3827766839022491,-0.8000297837912357,-0.5284377070259708,-0.2425390931939886,-2.067844951116795,-2.0717114754456856,-2.1502097149228443,-1.932461208630412,0.3729788330984976
17,2023-02-13,1401-11-24,3658.0,3680.0,3590.0,3600.0,3628.0,-0.7060243447962056,ونفت,3636.0,0.0121012101210121,-0.0126512651265126,0.006050605060506,-0.0099009900990099,4536.214503741744,0,-0.4043943422074847,-0.5973014146146984,-0.531419653001501,-0.600019873192787,-0.5398434876619544,-0.6529238522133038,-0.608424242847701,-0.4401086572119519,-0.5395859089950119,-0.6873913671702678,-0.6114249760743309,-0.4326590921837397,-2.0811960993406777,-2.085077995795978,-2.0944806670709,-1.963562972687724,-0.0230247980961949
18,2023-02-14,1401-11-25,3640.0,3640.0,3560.0,3562.0,3601.0,-0.6716705978358438,ونفت,3628.0,0.0033076074972436,-0.0187431091510474,0.0033076074972436,-0.0181918412348401,4507.638871040748,1,-0.4777284274123196,-0.5973014146146984,-0.5518248617433991,-0.600019873192787,-0.5572218401189188,-0.4075917960759368,-0.5623801274488314,-0.4518596783994566,-0.5501738026279819,-0.5379532753628671,-0.5866356748734823,-0.4398704427973697,-2.1353287870858115,-2.128472931168867,-2.1177672985774167,-2.007556013668603,-0.1798616898722882
19,2023-02-15,1401-11-26,3561.0,3600.0,3488.0,3580.0,3529.0,-0.5456653889824391,ونفت,3601.0,-0.0002777006387114,-0.031380172174396,-0.0111080255484587,-0.0058317134129408,4517.330171841149,1,-0.4367476150919707,-1.1976043438757018,-0.5688292023616476,-1.0743438836218675,-0.4742686703216475,-0.179671311009856,-0.4103424949898981,-0.4520772899029289,-0.5046057179250614,-0.4052117280174854,-0.5046675212611286,-0.4400024457057663,-2.1903314002982173,-2.1906191241954858,-2.187441779924028,-2.007556013668603,-0.3155708108615778
20,2023-02-18,1401-11-26,3561.0,3600.0,3488.0,3580.0,3529.0,-0.5456653889824391,ونفت,3529.0,0.0201190138849532,-0.0116180221025786,0.0090677245678662,0.0144516860300368,4525.462407875117,1,-0.4367476150919707,-1.1976043438757018,-0.5688292023616476,-1.0743438836218675,-0.4742686703216475,-0.179671311009856,-0.4103424949898981,-0.4520772899029289,-0.5046057179250614,-0.4052117280174854,-0.5046675212611286,-0.4400024457057663,-2.1903314002982173,-2.1906191241954858,-2.187441779924028,-2.007556013668603,-0.3155708108615778
21,2023-02-19,1401-11-30,3431.0,3599.0,3431.0,3522.0,3530.0,-0.6349748238352472,ونفت,3529.0,0.0198356474922074,-0.0277699064890903,-0.0277699064890903,-0.0019835647492207,4480.419509594159,1,-0.4065512270664505,-1.1976043438757018,-0.5620274661143482,-0.600019873192787,-0.460450670483756,-0.6738161643598272,-0.518739544725597,-0.4503028857036157,-0.4968920339476443,-0.7024618117432893,-0.56428077095034,-0.4389387286391161,-2.189787069632977,-2.1888013121054457,-2.187957349026594,-2.0526220556490147,-0.0201284800719052
22,2023-02-20,1401-12-01,3580.0,3777.0,3500.0,3740.0,3710.0,-0.056098159575859,ونفت,3530.0,0.0699716713881019,-0.0084985835694051,0.0141643059490084,0.0594900849858356,4611.710411487489,1,-0.1649801228622887,0.0030015146463049,-0.3273675655825194,0.3486281476653742,0.0675248499306148,-0.2995219332127613,-0.1114442801088958,0.2899072131990183,-0.1831182326365943,-0.4570611057031266,-0.3222149000452414,0.0289676171692507,-1.987647056846607,-1.98758716392408,-1.9288362299604007,-1.846485504034691,0.44894511727844
