,Date,J-Date,Open,High,Low,Close,Final,Volume,Ticker,Final_yes,high_rate,low_rate,open_rate,earning_rate,smooth-close,label,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2023-01-21,1401-11-01,22300.0,22300.0,20760.0,21160.0,21090.0,-0.1056989462963916,سفارس,21090.0,0.0398293029871977,-0.0170697012802275,-0.0170697012802275,0.029397818871503,27358.271134133847,0,0.1159255583431086,1.1189102866490923,-0.0499322996113022,-0.6215710289830985,0.1570988449639091,-0.4511144440485626,0.320816456932542,-0.48061454820341,-0.1513502008967961,-0.6518290970339283,-0.1851329562549641,-0.5377196652567469,-2.1073180557739555,-2.1113566694285915,-2.1135991085915737,-2.0861841270101,-0.142088054264787
1,2023-01-22,1401-11-02,20730.0,21930.0,20730.0,21710.0,21510.0,0.3155686871066801,سفارس,21090.0,0.0398293029871977,-0.0170697012802275,-0.0170697012802275,0.029397818871503,26696.544810296964,0,0.4283057093038552,0.1271488962101242,0.4179018589090081,1.0067258731388726,0.318785396036447,0.2564967268854762,0.6065891943160969,-0.0002500370829668,-0.0175892819423356,-0.1502308892635001,0.0394519906550327,-0.1875087350902533,-2.027569547545649,-2.0331329030746383,-2.038779322576494,-2.0201258171057006,-0.2359545754487146
2,2023-01-23,1401-11-03,22000.0,23010.0,21800.0,22900.0,22930.0,2.436328457566737,سفارس,21510.0,0.0697350069735007,0.0134821013482101,0.0227801022780102,0.0646211064621106,28175.569529072603,0,2.9488903756767764,0.1271488962101242,2.421332843631278,2.3093633948364496,3.723824044622591,-0.4215965457918714,3.5153060146651582,0.921075864820528,2.732574237237771,-0.5976634484671245,2.3307641341493235,0.5542316611437601,-1.771878035115111,-1.7734642654926136,-1.7596883010888578,-1.7568001679956893,1.4539868801147473
3,2023-01-24,1401-11-04,23100.0,23380.0,22220.0,22510.0,22680.0,-0.2129975224273473,سفارس,22930.0,0.0196249454862625,-0.0309638028783253,0.0074138682948102,-0.0183166157871783,27180.06318082842,0,0.4713926266777513,-0.2034382339361984,0.324335027204946,-0.6215710289830985,0.1077753364053682,-0.6180223935713226,0.1473517224070479,-0.5004478064319762,-0.140426029964862,-0.7500538026353175,-0.237233455778867,-0.5506126538418142,-1.81042632106615,-1.82015087454292,-1.8467772574241736,-1.7924526855796412,-0.011703192489119
4,2023-01-25,1401-11-05,22770.0,22850.0,21270.0,21560.0,21610.0,0.4411154631441376,سفارس,22680.0,0.0074955908289241,-0.0621693121693121,0.0039682539682539,-0.0493827160493827,27396.71547739616,0,0.1320831523583196,1.449497416795415,0.241776058054303,-0.2959116485587043,0.3867536642726728,0.4350057592429522,0.7804991563211171,0.0525431686543948,0.036448844047343,-0.020239929384269,0.1704040007753433,-0.1479158404402429,-2.011331417614988,-2.0130481195968724,-2.017938232845274,-2.009328655560969,-0.3388298108685063
5,2023-01-28,1401-11-08,21450.0,21990.0,20890.0,21350.0,21500.0,-0.1451306321298739,سفارس,21610.0,0.0175844516427579,-0.0333179083757519,-0.0074039796390559,-0.0120314669134659,26727.33207411776,0,-0.3364870740828003,-0.8646124942288438,-0.0719480247181403,-0.6215710289830985,0.1291558707445357,-0.4963866999603014,-0.0965478316854931,-0.1278225538395003,-0.1598856303173895,-0.6762964786767172,-0.4646524670825707,-0.2774870708066979,-2.034153238022308,-2.0494935873015976,-2.0337874282685786,-1.981133539561261,0.3080500530741614
6,2023-01-29,1401-11-09,21800.0,21800.0,20000.0,20300.0,20280.0,0.3742821012762735,سفارس,21500.0,0.013953488372093,-0.0697674418604651,0.013953488372093,-0.055813953488372,26628.8552907563,0,0.0297517235953164,2.11067167708806,0.6930984227444849,-0.6215710289830985,0.1507208504130017,0.6670408674038484,1.1531415604020183,-0.4492857782854225,-0.1820503699574568,0.0749164856657298,0.3326360983156033,-0.5164126012295361,-2.2641182191973077,-2.2631889542375743,-2.253198667198863,-2.165707292232643,-1.1331514244362642
7,2023-01-30,1401-11-10,20170.0,21120.0,20000.0,20700.0,20640.0,0.1782996516709985,سفارس,20280.0,0.0414201183431952,-0.0138067061143984,-0.0054240631163708,0.0207100591715976,26542.645483562694,0,0.1697842050604787,0.1271488962101242,0.4068939963555891,2.960682155685238,0.3643355016638695,-0.1348419477128387,0.4895014941943111,-0.1323681646709381,-0.0179773011052242,-0.4462562006472381,-0.0923693893171766,-0.2950026281011018,-2.1939218090581893,-2.195187230753876,-2.191284426373691,-2.17484409526147,-0.0293953323713068
8,2023-01-31,1401-11-11,20490.0,21580.0,20490.0,21050.0,21260.0,-0.2613709894159856,سفارس,20640.0,0.0455426356589147,-0.0072674418604651,-0.0072674418604651,0.0198643410852713,26868.950768047434,0,-0.3149436153958522,-0.5340253640825211,-0.0609401621647212,2.960682155685238,-0.1772298494501153,-0.2632399626014773,-0.0094744168195498,-0.4293291465096845,-0.3941298526260005,-0.5158303740283888,-0.4090607141526975,-0.5009705733575284,-2.0957845454022497,-2.079115609412314,-2.056187027886276,-2.083394433902521,-0.2553141901219669
9,2023-02-01,1401-11-12,21060.0,21490.0,20900.0,21000.0,21070.0,0.5840487379656434,سفارس,21260.0,0.0108184383819379,-0.0169332079021636,-0.0094073377234242,-0.0122295390404515,26815.1002592585,0,-0.5357640669370697,-0.5340253640825211,-0.42970355770426,2.6350227752608437,-0.3509849115789014,1.9722060000317716,1.0819336716520658,0.0073163046127887,-0.5222580656918173,1.0099765857786056,0.3447578785276191,-0.1899709236157096,-2.109009741474607,-2.1154058495269634,-2.1148070734238784,-2.1004225297539656,-1.8035583541309488
10,2023-02-04,1401-11-12,21060.0,21490.0,20900.0,21000.0,21070.0,0.5840487379656434,سفارس,21070.0,0.0199335548172757,-0.0080683436165163,-0.0004746084480303,-0.0033222591362126,26739.707309673508,0,-0.5357640669370697,-0.5340253640825211,-0.42970355770426,2.6350227752608437,-0.3509849115789014,1.9722060000317716,1.0819336716520658,0.0073163046127887,-0.5222580656918173,1.0099765857786056,0.3447578785276191,-0.1899709236157096,-2.109009741474607,-2.1154058495269634,-2.1148070734238784,-2.1004225297539656,-1.8035583541309488
11,2023-02-05,1401-11-16,20400.0,21100.0,19810.0,20080.0,20390.0,-0.0670492262542267,سفارس,21070.0,0.0014238253440911,-0.0598006644518272,-0.0317987660180351,-0.0469862363550071,26436.987780855976,0,-0.4549760968610145,1.1189102866490923,-0.2700895506796835,-0.9472304094074928,-0.3645082721576903,0.4917101475691992,0.407102548628476,-0.4977084014070572,-0.5411386273746983,-0.0370225733549793,-0.1615938585591617,-0.5506285168942068,-2.2391905117184505,-2.240719018964698,-2.237679935820829,-2.2232402658066186,-1.0281351177682956
12,2023-02-06,1401-11-17,19820.0,20590.0,19820.0,20450.0,20280.0,-0.2005585776258704,سفارس,20390.0,0.0098087297694948,-0.0279548798430603,-0.0279548798430603,0.0029426189308484,26407.507754300565,0,-0.6327096310283359,0.4577360263564469,-0.5783097021754174,-0.2959116485587043,-0.4779503691650156,0.369244229441042,0.1350136388642512,-0.4651079020875996,-0.6226480508165024,-0.1221871932180359,-0.3499947984897747,-0.5282990394219222,-2.2712028681882885,-2.2608276054199226,-2.2539706861244357,-2.238194789293693,-0.8778631596703786
13,2023-02-07,1401-11-18,20250.0,20750.0,20100.0,20210.0,20290.0,-0.5012936682275796,سفارس,20280.0,0.0231755424063116,-0.0088757396449704,-0.0014792899408284,-0.0034516765285996,26534.02484544084,0,-0.1210524872133198,0.1271488962101242,-0.8865298536711513,-0.2959116485587043,-0.3828163615729839,-0.4804929851115154,-0.4356443155882104,-0.4346790333372183,-0.5542450088262609,-0.6856252420061242,-0.7329866266676159,-0.5072788100805432,-2.242220950875632,-2.259507503663557,-2.2733634324218883,-2.231653342362365,-0.0619009564261154
14,2023-02-08,1401-11-19,20210.0,20820.0,20120.0,20280.0,20290.0,-0.7315634759425989,سفارس,20290.0,0.0261212419911286,-0.0083785115820601,-0.003942828979793,-0.0004928536224741,26314.351543540277,0,-0.5626933902957547,-1.1951996243751666,-0.7984669532437988,-0.9472304094074928,-0.4597129673536421,-0.8860740725216171,-0.7759855079529923,-0.5097516233422276,-0.609215617810223,-0.9522629784518212,-0.9617142613656444,-0.5589687512970142,-2.2578641766755503,-2.261284296389133,-2.265405164708153,-2.234557868287104,0.2238042632596106
15,2023-02-11,1401-11-19,20210.0,20820.0,20120.0,20280.0,20290.0,-0.7315634759425989,سفارس,20290.0,0.0261212419911286,-0.0083785115820601,-0.003942828979793,-0.0004928536224741,26556.10706264663,0,-0.5626933902957547,-1.1951996243751666,-0.7984669532437988,-0.9472304094074928,-0.4597129673536421,-0.8860740725216171,-0.7759855079529923,-0.5097516233422276,-0.609215617810223,-0.9522629784518212,-0.9617142613656444,-0.5589687512970142,-2.2578641766755503,-2.261284296389133,-2.265405164708153,-2.234557868287104,0.2238042632596106
