,Date,J-Date,Open,High,Low,Close,Final,Volume,Ticker,Final_yes,high_rate,low_rate,open_rate,earning_rate,Volume_rate,smooth-close,label,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-06-01,1401-03-11,18220.0,18800.0,17820.0,18040.0,18040.0,2417042.0,فجر,18040.0,-0.0033259423503325,-0.0598669623059867,-0.0171840354767184,-0.0598669623059867,-0.4887011329936742,13141.666005201025,0,0.7681961944289286,-0.6674403352113877,-0.397138628170473,-0.6410195751376719,-0.4055792036433242,-0.590541254678124,-0.5462585613584175,-0.34217590985192,-0.2917689899487618,-0.4250636147439176,-0.3158078275028766,-0.3683159254392255,2.0717119130522943,2.06701033490694,2.029212690781654,2.033784076040033,-0.0786306276683987
1,2022-06-06,1401-03-16,17730.0,17980.0,16960.0,16960.0,17040.0,7250201.0,فجر,18040.0,-0.0033259423503325,-0.0598669623059867,-0.0171840354767184,-0.0598669623059867,-0.1651341507329939,14528.138380616663,0,2.3303309058269863,-0.1412611683706073,1.7076854549362284,-0.2965327194911673,-0.2050920410632441,0.0623188274540562,-0.0336940301101981,-0.2646294011754641,0.1115245397333244,0.5886267047226088,0.7299503577002796,-0.2179798145967657,1.799769440149927,1.7886400846979091,1.7493376999844932,1.6796810559609612,-0.3544431387681299
2,2022-06-07,1401-03-17,16420.0,18060.0,16420.0,17450.0,17780.0,5647965.0,فجر,17040.0,0.0598591549295774,-0.0363849765258215,-0.0363849765258215,0.0240610328638497,-0.2723995370754302,14285.276148509049,1,1.1300983709698276,0.1218284150497829,1.7264227613140328,0.0479541361553372,-0.1551040289319891,-0.5537228077608625,-0.3664700753996391,-0.1151539403227574,0.2513743411287195,-0.3667639669220213,0.0661131411940049,0.0977425087635403,1.9941816656012807,1.972842970256471,1.977208008397428,1.941528312381768,0.1743661507846934
3,2022-06-08,1401-03-18,17460.0,18090.0,17330.0,17500.0,17660.0,2404865.0,فجر,17780.0,0.0174353205849268,-0.0253093363329583,-0.0179977502812148,-0.0157480314960629,-0.4895163503583394,13782.73316139316,0,0.3329973745379742,-0.6674403352113877,0.0962771064450444,0.0479541361553372,-0.4029032291422673,-0.6031023169705185,-0.612132070874792,-0.2729009541635473,-0.2929378150238934,-0.4511921531443471,-0.474203215688061,-0.2277811317384717,1.9690021231022417,1.9544804618944644,1.9082210560291268,1.886353931698191,0.0120327521287165
4,2022-06-11,1401-03-21,17400.0,17550.0,16850.0,16990.0,17040.0,2894488.0,فجر,17660.0,-0.0062287655719139,-0.0458663646659116,-0.014722536806342,-0.0379388448471121,-0.4567374087684971,13958.388068568844,1,0.6857374706601163,0.1218284150497829,0.2211924822970742,-0.6410195751376719,-0.3855731817096065,-0.5267372060150863,-0.4940006556314147,-0.3362623226589357,-0.2694165338983462,-0.3357163885392307,-0.2416364559772787,-0.3568968044724304,1.784034396972968,1.7876673353655483,1.780923282869242,1.690219079738108,-0.1075941101638283
5,2022-06-12,1401-03-22,16850.0,17410.0,16810.0,17350.0,17220.0,3660574.0,فجر,17040.0,0.0217136150234741,-0.0134976525821596,-0.011150234741784,0.0181924882629107,-0.4054500136771798,14289.846625570275,0,0.058134961975266,-0.930529918631778,-0.1785367204294209,0.0479541361553372,-0.2670500671099369,-0.7209263962771608,-0.4796829572012109,-0.2519780252914458,-0.014098891826901,-0.6429929477408204,-0.2044776412936081,-0.1900539763727924,1.8364516260722423,1.831459915260852,1.8589514706433572,1.765922078713577,0.1039266235984006
6,2022-06-13,1401-03-23,17400.0,18250.0,17400.0,17880.0,17850.0,8185796.0,فجر,17220.0,0.0598141695702671,0.0104529616724738,0.0104529616724738,0.0383275261324041,-0.1024985844774287,14238.35628951332,0,1.3225020597637234,-0.4043507517909975,0.5397266907197501,0.3924409918018419,0.0764351902654466,-0.6442064561883502,-0.414647025784961,0.2669006693103282,0.7644850630909085,-0.5163604610981437,-0.0286114140869397,0.8722425234007467,2.016111183332303,2.030866053916341,1.9666996485957144,1.9041382007407972,0.6863775025518003
7,2022-06-14,1401-03-24,17910.0,18100.0,17460.0,17540.0,17600.0,2542709.0,فجر,17850.0,0.0140056022408963,-0.0218487394957983,0.0033613445378151,-0.0173669467787114,-0.4802880656892977,14093.735077565349,0,0.1314316053253215,-0.6674403352113877,-0.1160790325034061,0.0479541361553372,-0.3961104578574392,-0.5881706409605961,-0.5446061470245499,-0.3276011802668169,-0.279814056382953,-0.4266665104418169,-0.3282341726959976,-0.3390257262350487,1.9458493279573996,1.9429694251917045,1.9131842771292027,1.8480582120035216,-0.0623922183026704
8,2022-06-15,1401-03-25,17210.0,17740.0,17150.0,17300.0,17340.0,1606644.0,فجر,17600.0,0.0079545454545454,-0.0255681818181818,-0.0221590909090909,-0.0170454545454545,-0.5429550971794357,14099.925496705231,0,-0.2258895310061989,-0.4043507517909975,-0.4783336224742924,-0.6410195751376719,-0.4788351778644494,-0.563983445366804,-0.6674453705435833,-0.3172682126699396,-0.4618625852249564,-0.3906988420517419,-0.6011188511187905,-0.3191389036745014,1.8712328128519,1.8734716710372057,1.8522539621854857,1.7654800280876315,-0.0636125081947906
9,2022-06-18,1401-03-28,17500.0,17500.0,16770.0,16970.0,16920.0,2922423.0,فجر,17340.0,0.0092272202998846,-0.0328719723183391,0.0092272202998846,-0.0213379469434832,-0.454867235730645,14014.865142570963,0,0.1543368063722139,-0.4043507517909975,-0.0661128821625942,-0.6410195751376719,-0.3373771023522466,-0.6843762212691854,-0.4877721664925776,-0.3393272487854056,-0.1713601239595937,-0.5860613924064498,-0.2339718136040123,-0.3628523961268476,1.7533272690459925,1.7523503126658326,1.7343668691370937,1.69256130444444,-0.022108840221482
