Date,J-Date,Open,High,Low,Close,Final,Volume,Ticker,Final_yes,high_rate,low_rate,open_rate,earning_rate,Volume_rate,smooth-close,label
2022-10-23,1401-08-01,2127.0,2183.0,2076.0,2122.0,2121.0,13461739.0,خکار,2159.0,0.0111162575266327,-0.03844372394627142,-0.014821676702176934,-0.01713756368689208,-0.38125984942885693,2742.001087172158,0
2022-10-24,1401-08-02,2146.0,2146.0,2033.0,2048.0,2059.0,8984513.0,خکار,2121.0,0.011786892975011787,-0.04148986327204149,0.011786892975011787,-0.034417727487034415,-0.5635245105034158,2726.3005264617095,0
2022-10-25,1401-08-03,2040.0,2098.0,2000.0,2023.0,2040.0,5557572.0,خکار,2059.0,0.01894123360854784,-0.028654686741136474,-0.009227780475959204,-0.017484215638659543,-0.7030328220980303,2693.5704678468833,0
2022-10-26,1401-08-04,2049.0,2084.0,1901.0,1915.0,1952.0,17327235.0,خکار,2040.0,0.021568627450980392,-0.06813725490196078,0.004411764705882353,-0.061274509803921566,-0.22389827815122584,2651.700134382979,0
2022-10-29,1401-08-07,1910.0,2030.0,1870.0,1914.0,1935.0,7919414.0,خکار,1952.0,0.039959016393442626,-0.042008196721311473,-0.02151639344262295,-0.0194672131147541,-0.6068839273043214,2639.936326260907,0
2022-10-30,1401-08-08,1881.0,1960.0,1881.0,1951.0,1934.0,8653153.0,خکار,1935.0,0.012919896640826873,-0.027906976744186046,-0.027906976744186046,0.008268733850129198,-0.5770139385764382,2677.0685109137103,1
2022-10-31,1401-08-09,1998.0,2069.0,1950.0,2069.0,2045.0,18250863.0,خکار,1934.0,0.06980351602895553,0.008273009307135471,0.033092037228541885,0.06980351602895553,-0.18629804435043656,2719.4023301170855,1
2022-11-01,1401-08-10,2120.0,2130.0,2051.0,2072.0,2083.0,13895204.0,خکار,2045.0,0.04156479217603912,0.00293398533007335,0.03667481662591687,0.013202933985330073,-0.36361379999720356,2720.705429776126,1
2022-11-02,1401-08-11,2040.0,2080.0,2013.0,2034.0,2049.0,7189041.0,خکار,2083.0,-0.0014402304368698992,-0.033605376860297645,-0.020643302928468554,-0.023523763802208355,-0.6366168885850361,2712.8384307787946,1
2022-11-05,1401-08-14,2031.0,2192.0,2031.0,2129.0,2143.0,14046192.0,خکار,2049.0,0.06979014153245486,-0.008784773060029283,-0.008784773060029283,0.03904343582235237,-0.3574671867491063,2757.4998514278627,1
2022-11-06,1401-08-15,2087.0,2293.0,2087.0,2293.0,2248.0,26509855.0,خکار,2143.0,0.0699953336444237,-0.026131591227251515,-0.026131591227251515,0.0699953336444237,0.1499195997214716,2836.584254031142,1
2022-11-07,1401-08-16,2300.0,2405.0,2300.0,2405.0,2388.0,23946207.0,خکار,2248.0,0.06983985765124555,0.023131672597864767,0.023131672597864767,0.06983985765124555,0.045555327327254584,2875.643436331297,1
