Date,J-Date,Open,High,Low,Close,Final,Volume,Ticker,Final_yes,high_rate,low_rate,open_rate,earning_rate,Volume_rate,smooth-close,label
2022-06-01,1401-03-11,21250.0,21300.0,20450.0,20450.0,20810.0,6944879.0,فاسمین,20810.0,-0.008169149447381067,-0.04372897645362806,-0.0245074483421432,-0.02787121576165305,-0.4802098684988685,15181.957520669834,1
2022-06-06,1401-03-16,20300.0,20640.0,19900.0,20230.0,20150.0,4998097.0,فاسمین,20810.0,-0.008169149447381067,-0.04372897645362806,-0.0245074483421432,-0.02787121576165305,-0.5966016214184754,17544.93309876066,1
2022-06-07,1401-03-17,19780.0,20450.0,19780.0,20310.0,20280.0,7862924.0,فاسمین,20150.0,0.01488833746898263,-0.01836228287841191,-0.01836228287841191,0.00794044665012407,-0.4253229490548421,17339.813742257087,1
2022-06-08,1401-03-18,20300.0,20990.0,20300.0,20880.0,20710.0,9228985.0,فاسمین,20280.0,0.035009861932938854,0.0009861932938856016,0.0009861932938856016,0.029585798816568046,-0.3436506126632424,16743.189704009368,1
2022-06-11,1401-03-21,20620.0,21190.0,20220.0,21110.0,20850.0,4324286.0,فاسمین,20710.0,0.02317720907774022,-0.023660067600193145,-0.0043457267020762915,0.01931434089811685,-0.6368865857475648,17273.066297439713,1
2022-06-12,1401-03-22,21210.0,22100.0,20900.0,22100.0,21900.0,17958575.0,فاسمین,20850.0,0.05995203836930456,0.002398081534772182,0.017266187050359712,0.05995203836930456,0.17826313133555746,18113.070044772103,1
2022-06-13,1401-03-23,22240.0,23210.0,22100.0,23190.0,23010.0,15788037.0,فاسمین,21900.0,0.059817351598173515,0.0091324200913242,0.015525114155251141,0.0589041095890411,0.0484937362011162,18293.80119986373,1
2022-06-14,1401-03-24,23190.0,23500.0,22710.0,22810.0,22980.0,8331029.0,فاسمین,23010.0,0.021295089091699262,-0.01303780964797914,0.007822685788787484,-0.008691873098652759,-0.39733647624975527,18110.554747809067,1
2022-06-15,1401-03-25,22800.0,22800.0,21890.0,22580.0,22470.0,4342285.0,فاسمین,22980.0,-0.007832898172323759,-0.047432550043516104,-0.007832898172323759,-0.017406440382941687,-0.6358104841805686,17981.678747332808,0
2022-06-18,1401-03-28,22270.0,22270.0,21500.0,21550.0,21690.0,7202029.0,فاسمین,22470.0,-0.008900756564307966,-0.04316866933689364,-0.008900756564307966,-0.040943480195816645,-0.4648357078258825,17766.41570579442,0
2022-06-19,1401-03-29,21400.0,22000.0,21350.0,21690.0,21700.0,3295598.0,فاسمین,21690.0,0.01429230059935454,-0.015675426463808206,-0.013370216689718764,0.0,-0.6983884896727935,17535.32025759931,0
2022-06-20,1401-03-30,22990.0,22990.0,21800.0,21900.0,22300.0,9895304.0,فاسمین,21700.0,0.05944700460829493,0.004608294930875576,0.05944700460829493,0.009216589861751152,-0.3038135706042756,17613.44787699606,0
2022-06-21,1401-03-31,22080.0,22100.0,21500.0,21750.0,21800.0,2692723.0,فاسمین,22300.0,-0.008968609865470852,-0.03587443946188341,-0.009865470852017937,-0.02466367713004484,-0.7344324216802849,17758.34205858875,0
2022-06-22,1401-04-01,21800.0,21980.0,21100.0,21300.0,21300.0,2903707.0,فاسمین,21800.0,0.008256880733944955,-0.03211009174311927,0.0,-0.022935779816513763,-0.7218183757326696,17435.228119237945,0
2022-06-25,1401-04-04,20200.0,20800.0,20030.0,20190.0,20110.0,19858849.0,فاسمین,21300.0,-0.023474178403755867,-0.05962441314553991,-0.051643192488262914,-0.05211267605633803,0.29187432246407274,16847.75948295704,0
2022-06-26,1401-04-05,20110.0,20400.0,19500.0,19990.0,20000.0,10476589.0,فاسمین,20110.0,0.014420686225758329,-0.030333167578319244,0.0,-0.005967180507210343,-0.2690604343538512,16713.653441935257,0
2022-06-27,1401-04-06,20740.0,21000.0,20210.0,20610.0,20730.0,7995752.0,فاسمین,20000.0,0.05,0.0105,0.037,0.0305,-0.4173815957051576,17119.59932683983,0
2022-06-28,1401-04-07,21000.0,21200.0,20730.0,21120.0,21010.0,12433699.0,فاسمین,20730.0,0.022672455378678243,0.0,0.013024602026049204,0.01881331403762663,-0.15205120396416608,17426.595957932932,0
2022-06-29,1401-04-08,20690.0,21350.0,20690.0,21290.0,21100.0,6123371.0,فاسمین,21010.0,0.01618277010947168,-0.015230842455973346,-0.015230842455973346,0.013326987148976678,-0.529325155242572,17248.135486511394,0
2022-07-02,1401-04-11,20680.0,20680.0,19840.0,19970.0,19970.0,19129635.0,فاسمین,21100.0,-0.01990521327014218,-0.05971563981042654,-0.01990521327014218,-0.053554502369668244,0.2482769932749194,16875.692357113054,0
2022-07-03,1401-04-12,19790.0,20160.0,19590.0,19920.0,19920.0,6492007.0,فاسمین,19970.0,0.009514271407110666,-0.01902854281422133,-0.009013520280420632,-0.0025037556334501754,-0.5072856098649836,16714.56877598503,0
2022-07-04,1401-04-13,20020.0,20090.0,19430.0,19950.0,19790.0,6354175.0,فاسمین,19920.0,0.00853413654618474,-0.02459839357429719,0.0050200803212851405,0.0015060240963855422,-0.5155261360710073,16735.19072336528,0
2022-07-05,1401-04-14,19940.0,19950.0,19510.0,19680.0,19690.0,5942721.0,فاسمین,19790.0,0.00808489135927236,-0.01414855987872663,0.007579585649317837,-0.0055583628094997475,-0.5401256301621711,16616.51966321728,0
2022-07-06,1401-04-15,19300.0,19380.0,18750.0,18950.0,18950.0,10066865.0,فاسمین,19690.0,-0.01574403250380904,-0.047739969527679026,-0.019807008633824275,-0.037582529202640935,-0.29355649738157236,16265.773588672568,0
2022-07-09,1401-04-18,18500.0,18830.0,18300.0,18520.0,18500.0,2417545.0,فاسمین,18950.0,-0.0063324538258575196,-0.03430079155672823,-0.023746701846965697,-0.022691292875989446,-0.7508844177357814,15999.241273546373,0
2022-07-11,1401-04-20,18500.0,19290.0,18460.0,18550.0,18900.0,6325563.0,فاسمین,18500.0,0.042702702702702704,-0.002162162162162162,0.0,0.002702702702702703,-0.5172367543295159,16097.297475656997,0
2022-07-12,1401-04-21,18890.0,19200.0,18580.0,19200.0,18980.0,3975933.0,فاسمین,18900.0,0.015873015873015872,-0.016931216931216932,-0.0005291005291005291,0.015873015873015872,-0.657713476639716,16352.030429897128,0
2022-07-13,1401-04-22,19500.0,19540.0,19060.0,19180.0,19310.0,4300416.0,فاسمین,18980.0,0.029504741833508957,0.004214963119072708,0.0273972602739726,0.01053740779768177,-0.6383136952761053,16353.044870298629,0
2022-07-16,1401-04-25,19100.0,19240.0,18500.0,18660.0,18740.0,6955631.0,فاسمین,19310.0,-0.0036250647332988087,-0.04194717762817193,-0.010875194199896427,-0.033661315380631794,-0.4795670414502356,16092.239580724397,0
2022-07-17,1401-04-26,18870.0,18880.0,18000.0,18090.0,18250.0,4064801.0,فاسمین,18740.0,0.007470651013874066,-0.03948772678762007,0.006937033084311633,-0.03468516542155817,-0.6524003484628274,15900.266948047281,0
2022-07-19,1401-04-28,18310.0,18800.0,18260.0,18430.0,18410.0,7106777.0,فاسمین,18250.0,0.030136986301369864,0.000547945205479452,0.0032876712328767125,0.009863013698630137,-0.47053051456289696,15907.436976793984,0
2022-07-20,1401-04-28,18310.0,18800.0,18260.0,18430.0,18410.0,7106777.0,فاسمین,18410.0,0.021184139054861488,-0.008147745790331342,-0.005431830526887561,0.0010863661053775121,-0.47053051456289696,15982.052258554771,0
