Date,J-Date,Open,High,Low,Close,Final,Volume,Ticker,Final_yes,high_rate,low_rate,open_rate,earning_rate,smooth-close,label
2023-03-08,1401-12-16,5550.0,5840.0,5550.0,5670.0,5670.0,-0.06842651541706907,کسرا,5670.0,0.029982363315696647,-0.021164021164021163,-0.021164021164021163,0.0,6184.497886600833,1
2023-03-12,1401-12-16,5550.0,5840.0,5550.0,5670.0,5670.0,-0.06842651541706907,کسرا,5670.0,0.029982363315696647,-0.021164021164021163,-0.021164021164021163,0.0,6169.180526491626,1
2023-03-13,1401-12-16,5550.0,5840.0,5550.0,5670.0,5670.0,-0.06842651541706907,کسرا,5670.0,0.029982363315696647,-0.021164021164021163,-0.021164021164021163,0.0,6175.888240560367,0
2023-03-14,1401-12-16,5550.0,5840.0,5550.0,5670.0,5670.0,-0.06842651541706907,کسرا,5670.0,0.029982363315696647,-0.021164021164021163,-0.021164021164021163,0.0,6180.314183459806,0
2023-03-15,1401-12-16,5550.0,5840.0,5550.0,5670.0,5670.0,-0.06842651541706907,کسرا,5670.0,0.029982363315696647,-0.021164021164021163,-0.021164021164021163,0.0,6163.131740099109,0
2023-03-19,1401-12-16,5550.0,5840.0,5550.0,5670.0,5670.0,-0.06842651541706907,کسرا,5670.0,0.029982363315696647,-0.021164021164021163,-0.021164021164021163,0.0,6193.604229872384,0
2023-03-20,1401-12-16,5550.0,5840.0,5550.0,5670.0,5670.0,-0.06842651541706907,کسرا,5670.0,0.029982363315696647,-0.021164021164021163,-0.021164021164021163,0.0,6150.502911666977,1
2023-03-21,1401-12-16,5550.0,5840.0,5550.0,5670.0,5670.0,-0.06842651541706907,کسرا,5670.0,0.029982363315696647,-0.021164021164021163,-0.021164021164021163,0.0,6204.366246389098,1
2023-03-22,1401-12-16,5550.0,5840.0,5550.0,5670.0,5670.0,-0.06842651541706907,کسرا,5670.0,0.029982363315696647,-0.021164021164021163,-0.021164021164021163,0.0,6142.724974260105,1
2023-03-25,1402-01-05,5580.0,5600.0,5260.0,5330.0,5437.0,1.3700364218431336,کسرا,5670.0,-0.012345679012345678,-0.07231040564373897,-0.015873015873015872,-0.059964726631393295,6038.226775999903,1
2023-03-26,1402-01-06,5460.0,5817.0,5295.0,5796.0,5731.0,2.310151255130491,کسرا,5437.0,0.06989148427441604,-0.026117344123597574,0.004230274048188339,0.06602906014346147,6206.4471944346415,1
2023-03-27,1402-01-07,6010.0,6132.0,5796.0,6132.0,6111.0,0.06437741464402216,کسرا,5731.0,0.06997033676496249,0.011341825161402896,0.04868260338509859,0.06997033676496249,6433.589637543655,1
2023-03-28,1402-01-08,6538.0,6538.0,6352.0,6538.0,6498.0,4.456471735680046,کسرا,6111.0,0.06987399770904926,0.039437080674194075,0.06987399770904926,0.06987399770904926,6587.957866648428,1
2023-03-29,1402-01-09,6700.0,6800.0,6420.0,6479.0,6607.0,1.188454272369559,کسرا,6498.0,0.04647583871960603,-0.012003693444136657,0.031086488150200063,-0.0029239766081871343,6592.131880718942,1
2023-04-01,1402-01-09,6700.0,6800.0,6420.0,6479.0,6607.0,1.188454272369559,کسرا,6607.0,0.02921144240956561,-0.028303314666263055,0.014075980021189647,-0.019373391857121235,6577.070338529024,1
2023-04-02,1402-01-09,6700.0,6800.0,6420.0,6479.0,6607.0,1.188454272369559,کسرا,6607.0,0.02921144240956561,-0.028303314666263055,0.014075980021189647,-0.019373391857121235,6570.973873980198,1
