Date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2023-01-21,-0.14286322130328738,-0.4530193046584073,0.09317982985554933,-1.2518979841407136,-0.24791908126642626,-0.4507245691407064,-0.22444126665812128,-0.5711367580380343,-0.3110135635055961,-0.4628166880223929,-0.3121933847457545,-0.5168129431912288,-1.1864106624915223,-1.1666813147248793,-1.1214596175962166,-1.0202835864997444,-0.07705016417734364
2023-01-22,-0.2575378587430299,-0.4530193046584073,0.1850534004140582,0.09810444168734714,0.12368780094743004,-0.6909583464333413,-0.17692784633795386,-0.033925766764660685,-0.06607606491432572,-0.6466157778323226,-0.27923901263427175,-0.13729595038457343,-1.1133594497845223,-1.1463270835433828,-1.1682591004171134,-1.0202835864997444,0.5697134864828755
2023-01-23,-0.15815317296191972,0.09950713050300267,-0.2628302560586726,-0.8018971755313601,-0.456473516763094,-0.5979232316886631,-0.5670034244388376,-0.4602079233473567,-0.44427199766357084,-0.5764836975329986,-0.5386582255317865,-0.43929608059615544,-1.1702931594884702,-1.1829289698428715,-1.1791624354220862,-1.0845847860110762,0.1408841676831782
2023-01-24,-0.46395220613456645,-0.4530193046584073,-0.056114722302027596,-0.35189636692200643,-0.4630727512783064,-0.24151194464585465,-0.413257912143473,-0.44502664872196973,-0.4512580379676194,-0.306719790815967,-0.43979900705170377,-0.43000049396767825,-1.269910225706468,-1.2249089873945045,-1.171134651715993,-1.1719892185690173,-0.15488112041997212
2023-01-25,0.025326246941668306,1.2045600008258226,0.162085007774431,0.09810444168734714,-0.29429980109802895,1.2120699461170745,0.1465097307446921,0.24127688963950497,-0.35711392916593204,0.6897787076810352,-0.1111039165482808,0.0002578279760647866,-1.5426626819922669,-1.5412960905432993,-1.579122388353164,-1.6078666451677575,-0.850833570163835
2023-01-28,0.5222496758472193,0.6520335656644126,0.23099018569331267,0.9981060589060543,0.03918823447937831,0.6038785335051158,-0.13768901979328627,1.0434374157257447,-0.177275233815011,0.21405375954374625,-0.3089947423355093,0.47247933290693345,-1.7982407455374874,-1.8077940613421615,-1.8462763323413747,-1.8071203870456891,0.3306204979231997
2023-01-29,-0.36456752035345624,1.7570864359872325,0.6559054495264163,0.09810444168734714,-0.4498824391015854,0.4640084513498966,-0.07488626788780528,-0.42808476195153833,-0.46502265536366627,0.08924608285882518,-0.29161613419474125,-0.4326537048429286,-2.0326435658113926,-2.0215375140829153,-2.041692282430685,-2.012067358436976,-0.7510660975223787
2023-01-30,-0.27282781040166226,0.6520335656644126,0.10466402617536295,-0.35189636692200643,-0.35927101012711843,0.05519558195134558,-0.14312825304088123,-0.4880154078426065,-0.4154973428340503,-0.17978068602990263,-0.3325790907622519,-0.46708635326326475,-2.038132788760646,-2.0516141962064016,-2.0847626568316584,-1.9287204782901644,-0.4465637361848693
2023-01-31,0.11706595689346232,0.6520335656644126,0.03575884825648128,-0.35189636692200643,-0.08259274164487408,-0.12824140609570361,0.06702379124780951,-0.4861389551411218,-0.2657560249072566,-0.2990777931922521,-0.21706917726261038,-0.46555844218794146,-2.0666506024167806,-2.07195523933347,-2.104361665844986,-1.8886881344827107,-0.2864206535350695
2023-02-01,0.11706595689346232,0.6520335656644126,0.03575884825648128,-0.35189636692200643,-0.08259274164487408,-0.12824140609570361,0.06702379124780951,-0.4861389551411218,-0.2657560249072566,-0.2990777931922521,-0.21706917726261038,-0.46555844218794146,-2.0666506024167806,-2.07195523933347,-2.104361665844986,-1.8886881344827107,-0.2864206535350695
2023-02-04,0.11706595689346232,0.6520335656644126,0.03575884825648128,-0.35189636692200643,-0.08259274164487408,-0.12824140609570361,0.06702379124780951,-0.4861389551411218,-0.2657560249072566,-0.2990777931922521,-0.21706917726261038,-0.46555844218794146,-2.0666506024167806,-2.07195523933347,-2.104361665844986,-1.8886881344827107,-0.2864206535350695
2023-02-05,-0.8385560217710587,-1.0055457398198173,-0.837040072049353,-0.35189636692200643,-0.6827115012860664,-0.6766688765422727,-0.8107772472570921,-0.541887428319008,-0.5934121299891767,-0.650201721185454,-0.7073907404268428,-0.4999483750531832,-2.194909802647445,-2.156641753111544,-2.1528358240598355,-2.1105574340559303,0.14221797717251958
2023-02-06,-0.4945321094518311,-0.4530193046584073,-0.12501990022090925,-0.35189636692200643,-0.48884467042410845,-0.5347432974546481,-0.5929023096317224,-0.41334014871443464,-0.48661100224758863,-0.5597431913525978,-0.5847329094060574,-0.4245809500665588,-2.0407765592048515,-2.0597077520659,-2.133090036410591,-2.0440760442377592,0.12455884982571755
2023-02-07,-0.44101727864661794,0.09950713050300267,0.2539585783329399,0.9981060589060543,0.05443067510039311,4.420079038676976,1.1289994874624505,2.267576334175448,-0.16421967167181348,2.8393344933684483,0.4490179536701824,1.2515223376993694,-1.7470210827182557,-1.7461582458715366,-1.7501333788385494,-1.721419226863257,-1.9686246729644916
2023-02-08,-0.05876848718080954,-0.4530193046584073,0.12763241881499016,-0.35189636692200643,-0.17655102965464792,-0.5983142187326624,-0.24397259407283392,-0.5108187446124872,-0.2979191088724322,-0.5910139038715316,-0.3663641292880201,-0.47906867816105697,-1.7422326693434032,-1.73778545819472,-1.760637365454278,-1.69775572980348,0.09985970612062502
