Date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2023-01-21,-0.13236223945186548,-0.027650063180466526,0.08679079148726565,-0.8392971785677836,-0.33751579574847945,-0.025124701405253032,-0.16780843259395545,-0.3580766517810251,-0.4132031939943256,-0.15418083857676745,-0.32198108639313383,-0.35295389662733795,-1.276452587533381,-1.2855361966662597,-1.311378801442581,-1.374968896517795,-0.3934264720108732
2023-01-22,-0.15482921194348087,-1.244252843120995,-0.20290766766226395,-0.5771822868384128,-0.10355137278607714,-0.5489418615729909,-0.20436053125643008,-0.25236590161567446,-0.26445970131250224,-0.473496504893506,-0.3469788718525806,-0.28202672635421133,-1.3087455152774763,-1.3091410309137088,-1.3773723773468254,-1.371852340145675,0.13900910550392703
2023-01-23,-0.44315535891921165,-0.6359514531507307,-0.1903120824818496,-0.31506739510904186,-0.3413514706429468,-0.3583390633374852,-0.31315992200686554,-0.37705493044642446,-0.4177169315162848,-0.3566242915903329,-0.4142812128794207,-0.36557175678968307,-1.3091025065946655,-1.3073163721596122,-1.2848050479002742,-1.3423812783825873,-0.15420649198699965
2023-01-24,-0.709014533403327,-0.9401021481358628,-0.6731428477310656,-0.8392971785677836,-0.6108790403181729,-0.456442300656053,-0.7104092841922638,-0.3283764784746091,-0.59129527893034,-0.41727016248399906,-0.6606733925833905,-0.33291802714832625,-1.305645045914604,-1.3083318612097035,-1.3268997178917832,-1.362365431371612,-0.021169705903172725
2023-01-25,-0.3794989368596347,-0.3318007581655986,-0.24489295159697838,-0.8392971785677836,-0.36480973785034626,-0.4049985805994276,-0.3710795475908589,-0.36433489623906984,-0.4437696301027831,-0.3897639598737112,-0.46419299951580806,-0.3580392639827671,-1.4949274210261696,-1.4999156456439497,-1.5257446905124745,-1.553595023362928,-0.10296773084544009
2023-01-28,-0.6154021480215962,0.5806513267897976,-0.2155032528426783,-0.052952503379670994,-0.43988648070009645,-0.2366098341704906,-0.39169488028875443,-0.35042379632637805,-0.49525065740997654,-0.2962570109768567,-0.48427611216130395,-0.34938799390228636,-1.5974266720848003,-1.6115873889625714,-1.638595761196119,-1.600362460436624,-0.21887216308562163
2023-01-29,-0.3158425148000578,1.4931034117451938,-0.23229736641656407,-0.8392971785677836,-0.3408966779855372,-0.019264079625800536,-0.15595173148860547,-0.3774462928283041,-0.4517350671948131,-0.18922547585009117,-0.3730548568308592,-0.3677142221837771,-1.8616769607596224,-1.8667690296289836,-1.8803283768609533,-1.940589258900366,-0.42036585765105433
2023-01-30,-0.4506443497497501,-0.3318007581655986,-0.2280988380230926,-0.8392971785677836,-0.4399622794763314,-0.3701825787918699,-0.42732017698999686,-0.3888229149516347,-0.5107449159097294,-0.3783291176298135,-0.5248060876202532,-0.3744046235097058,-1.91465198551175,-1.9152692968144376,-1.9054413351141481,-1.920441759107056,-0.158502392529785
2023-01-31,-0.27465306523209626,1.4931034117451938,-0.6563487341571799,-0.8392971785677836,-0.4238783985414066,-0.43739540098207913,-0.4346424398375331,-0.39566764361134604,-0.498307667951744,-0.41293502571722057,-0.5243661640180798,-0.3784621018933837,-1.8480018020352307,-1.8468926939639116,-1.8180653856344142,-1.9103109469758646,-0.11372950000236473
2023-02-01,-0.5704682030383655,1.1889527167600618,-0.828488398289509,-0.8392971785677836,-0.5056129705228714,-0.3807257684861654,-0.507783820074612,-0.3918944548560993,-0.5457679174337043,-0.38354907833126306,-0.5659746660004826,-0.37621933216375236,-1.8668665022887427,-1.8718986654641356,-1.8867341355402685,-1.9125989735489108,-0.15378412984498427
2023-02-04,-0.5704682030383655,1.1889527167600618,-0.828488398289509,-0.8392971785677836,-0.5056129705228714,-0.3807257684861654,-0.507783820074612,-0.3918944548560993,-0.5457679174337043,-0.38354907833126306,-0.5659746660004826,-0.37621933216375236,-1.8668665022887427,-1.8718986654641356,-1.8867341355402685,-1.9125989735489108,-0.15378412984498427
2023-02-05,-0.6565915975895578,-0.3318007581655986,-0.7445178304200801,-0.5771822868384128,-0.6425934824515264,-0.19061690220244687,-0.7063749382261941,-0.20902338978341659,-0.6254691950078366,-0.28509251377086386,-0.6769193782598684,-0.2698433571752308,-1.949970891242515,-1.952376538591103,-1.9630568651353333,-2.0015548527783693,-0.09177904413961151
2023-02-06,-0.8513053591835578,-0.027650063180466526,-0.790701642748266,-0.5771822868384128,-0.6561732467648863,-0.2274686051161243,-0.6733253179369343,-0.3063825970200297,-0.6332693406918697,-0.30631086810826813,-0.6598625513714874,-0.32727829669119024,-1.961629307723864,-1.9724785918558543,-2.00672574986897,-2.058564089743827,-0.1752249116003585
2023-02-07,-0.7352260013102117,-0.3318007581655986,-0.6731428477310656,-0.31506739510904186,-0.6099454350623047,-0.43634514159459936,-0.7116453031835744,-0.3112791346669337,-0.6044007409030687,-0.41237296743826657,-0.676384433524626,-0.32796104304687135,-1.8387057772785977,-1.834097317072031,-1.81876952441111,-1.8874788363341173,-0.017193063459825575
2023-02-08,-0.6902920563269809,-0.6359514531507307,-0.761311943993966,-0.052952503379670994,-0.43846601843155036,-0.2274926331906718,-0.494522078615362,-0.19034098555368745,-0.5080133881951224,-0.30014872632998124,-0.5582479147577118,-0.2571870671934606,-1.876003479835255,-1.8635196631898236,-1.8576164620762368,-1.9411567377726875,-0.041328292466320464
2023-02-11,-0.6902920563269809,-0.6359514531507307,-0.761311943993966,-0.052952503379670994,-0.43846601843155036,-0.2274926331906718,-0.494522078615362,-0.19034098555368745,-0.5080133881951224,-0.30014872632998124,-0.5582479147577118,-0.2571870671934606,-1.876003479835255,-1.8635196631898236,-1.8576164620762368,-1.9411567377726875,-0.041328292466320464
2023-02-12,-0.8662833408446348,-0.3318007581655986,-0.8998633809785236,-0.5771822868384128,-0.5950798485587632,-0.34998330041358927,-0.6190687901807159,-0.3630378132481756,-0.5996916526272598,-0.3685474159898325,-0.6306703291334842,-0.3596094627651484,-1.975943468225323,-1.966793345807695,-1.9443380150344265,-2.0195544416165205,-0.1445826634708312
2023-02-13,-0.8887503133362501,-1.244252843120995,-0.9292530797328237,-0.8392971785677836,-0.6279209241220441,-0.5461532485019168,-0.7279485353494316,-0.39317857359792174,-0.6167605280362778,-0.47232332221322576,-0.6879311698929388,-0.37702734227669743,-1.9273800853192402,-1.931068505630443,-1.9290474242416582,-1.9603313758677874,-0.025632410261526625
2023-02-14,-0.8587943500140963,-0.9401021481358628,-0.8410839834699234,-0.8392971785677836,-0.6282159992783587,-0.2491038516108106,-0.6120927932023873,-0.36252911454094006,-0.6172494175514447,-0.31370460743266976,-0.625064593894326,-0.35934532542075165,-1.9412944835458874,-1.9214070639574654,-1.9063340127696988,-2.0254273535685487,-0.22304749719275707
2023-02-15,-0.709014533403327,2.101404801715458,-0.6311575637963512,-0.8392971785677836,-0.5631050770957697,-0.14389615210536733,-0.4668005193646837,-0.39156100384063197,-0.581213452857614,-0.26028469628008005,-0.5484941795139463,-0.37612167646312195,-1.9522711404146402,-1.9537981856034627,-1.9592153974494086,-1.9997366847206166,-0.33898518390322496
2023-02-18,-0.709014533403327,2.101404801715458,-0.6311575637963512,-0.8392971785677836,-0.5631050770957697,-0.14389615210536733,-0.4668005193646837,-0.39156100384063197,-0.581213452857614,-0.26028469628008005,-0.5484941795139463,-0.37612167646312195,-1.9522711404146402,-1.9537981856034627,-1.9592153974494086,-1.9997366847206166,-0.33898518390322496
2023-02-19,-0.7614374692170963,0.27650063180466555,-0.7319222452396659,-1.1014120702971546,-0.6482032717025636,-0.3386052320161652,-0.6517332634306325,-0.3997766524834134,-0.6282390446272942,-0.36267210353071194,-0.647084889471387,-0.38090724347708155,-1.932511595548873,-1.937903281316448,-1.949637224258412,-1.9997366847206166,-0.19588459292124513
2023-02-20,-0.709014533403327,-0.3318007581655986,-0.3162679342859929,-0.8392971785677836,-0.534109155994886,-0.07918157145631735,-0.40168103958258095,-0.3929702901039501,-0.5552094749907244,-0.20808773438819553,-0.49406921483801164,-0.37664731925045886,-1.6786321103219628,-1.6697546031851773,-1.6591766470881657,-1.6912303243842148,-0.39132308880354005
2023-02-21,-0.3270760010458655,-0.3318007581655986,0.06999667791337988,-0.8392971785677836,-0.5235185524900294,0.5776622759612282,-0.11729875359980407,-0.34712995574493516,-0.5399432407420205,0.19486927771460327,-0.3064610013089732,-0.34631550520013876,-1.4387571543781161,-1.4365551495076065,-1.439131195221518,-1.4694823862724449,-0.853156540809475
2023-02-22,-0.5405122397162117,-0.3318007581655986,-0.6689443193375941,-0.8392971785677836,-0.6086991929007699,-0.4589708679525888,-0.6962916206980287,-0.34708415311877266,-0.5974909624503653,-0.42119171022364116,-0.6602211230275065,-0.3478683679590629,-1.5993213055131612,-1.581235977366585,-1.5258089330060929,-1.6831298483834107,-0.04077139397419698
2023-02-25,-0.04249434948540394,-0.6359514531507307,0.1707613593566945,0.47127728007907077,-0.20526256684052704,0.6689977347987777,0.20385211425020242,-0.20344073406126836,-0.32903318457931435,0.27075925480089413,-0.09209970990186604,-0.2482941895907031,-1.296713099252518,-1.2968287396608353,-1.299430119160004,-1.3387304788232515,-0.7589543706800695
2023-02-26,0.2757877608124807,1.7972541067303258,0.5570259715560674,0.47127728007907077,-0.1427684586129784,0.09654804240907548,0.09669699477750132,-0.3255806756443122,-0.278703205584159,-0.06962149524042975,-0.14409706897808391,-0.32917313632394113,-1.1846781106819557,-1.1873478277623217,-1.1854961055927027,-1.1835278383521561,-0.45128158204079005
2023-02-27,-0.3046090285542501,0.5806513267897976,0.2085481148979375,-0.31506739510904186,-0.24133836556561444,-0.39954740496125646,-0.2808324188981241,-0.27837731830673806,-0.34329544538360834,-0.37821410470047223,-0.3813852118685207,-0.29892813086286624,-1.1770228194724224,-1.1550326348673314,-1.0971873294923138,-1.3398320995891546,-0.0080697223138109
2023-02-28,-0.3570319643680193,-1.244252843120995,-0.10214298621894931,-0.31506739510904186,-0.4334012854528711,-0.5108867202965933,-0.5100911717216589,-0.351078458000321,-0.4622763667798751,-0.4488229548602452,-0.5204751641600782,-0.3460468202027685,-1.011601624613243,-1.0154008063538877,-1.0441863305812011,-1.0513674647293385,-0.004697050900435427
