Date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2022-06-01,-0.19898662687398344,-0.8195500554433435,-0.27223843693918126,-0.7213063791490072,-0.8507414271378706,-0.5124803995439384,-0.8271231548927437,-0.6756563047511827,-0.42195019335338857,-0.39444606294092643,-0.4108638527644981,-0.5923953804436186,1.7466140951629963,1.7454544138544632,1.7026213746370231,1.7690676657036577,0.10974225333825469
2022-06-06,0.7830164788375893,0.7993334506601109,0.0429749313717292,-0.48224877307001435,-0.41439559493388073,0.27666323463068854,-0.11177316546169694,-0.5757654243712421,0.00674854767655189,0.3751936926082707,0.2715908024378701,-0.47103010204127443,1.4886758122965986,1.4825232341025192,1.4581477744241285,1.466970510082968,-0.6523444912679436
2022-06-07,-0.056111039289454955,-0.27992222007552536,-0.4396955388543525,-0.960363985228,-0.8445640262317569,-0.5400860019354075,-0.8347139130055888,-0.6704155972772118,-0.4579221165454323,-0.42513452344893343,-0.4567071562005626,-0.5862943003056087,1.4572160336828932,1.4560782913502677,1.3817928654933866,1.4563368605601703,0.14190976807208425
2022-06-08,-0.46128061602169995,-0.5497361377594344,-0.3744365211962343,-1.199421591306993,-1.0001297191816392,-0.49506185675702963,-0.9595863182513824,-0.665343883827141,-0.6258263923486128,-0.3808677112957158,-0.5834039228535894,-0.5803510408442232,1.4331333470840342,1.4345326581709164,1.4372103398207343,1.395808605643976,0.09803362854502153
2022-06-11,0.16779846364152254,-0.010108302391616307,-0.24391848587999793,-0.7213063791490072,-0.7240771209725498,-0.48469442593782697,-0.7009285507187323,-0.6672114705840658,-0.36607728025021113,-0.3740928766407787,-0.35571583774738974,-0.5829600649215393,1.252795250433644,1.2538227702816,1.260073167780331,1.2760730663737587,0.08601637948902038
2022-06-12,-0.08383316822376645,-0.27992222007552536,-0.17619686378195074,-0.24319116699102153,-0.7260863086983531,-0.5258732068575651,-0.7489185344454343,-0.5580813489294589,-0.37213524204825577,-0.4131496025868494,-0.4043632051052187,-0.46028419050342817,1.2299742884095912,1.2341173871841193,1.210573284309935,1.131413129574765,0.19788875299763953
2022-06-13,-0.33972974300202646,-0.8195500554433435,-0.4963354409727192,-0.960363985228,-0.9356938329217075,-0.5683152386169242,-0.9290477427933618,-0.6765329105519573,-0.5681190788387239,-0.45231611778037956,-0.5621479369198951,-0.5938091774965307,1.3516087286568526,1.3522338387965391,1.3781200899874704,1.3192470838459605,0.16756684545729103
2022-06-14,-0.33972974300202646,-1.3591778908111616,-0.20944202372099208,-0.48224877307001435,-0.7655031970860514,-0.5685053948884189,-0.7989238165917154,-0.5757862444349866,-0.37787577306621156,-0.45252477008537556,-0.42414071076267473,-0.4719364068503141,1.4337657837779865,1.4336220721191186,1.342850952677663,1.4348524070341808,0.23129741469759516
2022-06-15,-0.627613389627569,-0.8195500554433435,-0.6268534762889556,-0.960363985228,-1.094829536025711,-0.5574322983858907,-1.0736627582590859,-0.6647779566399044,-0.7379516806947239,-0.44216714453380396,-0.7071766504373865,-0.5800894879176249,1.298465106569362,1.2986950441371707,1.2753457121058698,1.284443026103643,0.16360110893604363
2022-06-18,-0.20111909833046895,-0.010108302391616307,-0.6243908718490265,-0.48224877307001435,-0.8322947803851529,-0.5043602701151279,-0.8246550033402501,-0.606504490952137,-0.49542263845623086,-0.3946437631009284,-0.49087164389047727,-0.5151819421090038,1.1232199730041021,1.1233526592878837,1.113593051396283,1.1176249038968848,0.14486011371776072
2022-06-19,-0.5572418315635475,-0.27992222007552536,-0.6219282674090976,-0.48224877307001435,-1.0487107381555265,-0.4699162176582075,-0.9955484411853845,-0.6570447901062356,-0.7120053632234443,-0.3646486521696168,-0.6523242995936068,-0.572474217416146,1.086545958238074,1.0854162788542154,1.0601556947363606,1.038869901816818,0.07697641676019702
